la_code,la_name,date_code,measurement,units,sex,Alcohol consumption (mean weekly units),Alcohol consumption: Hazardous/Harmful drinker,Alcohol consumption: Moderate drinker,Alcohol consumption: Non-drinker,Any cardiovascular condition: Has a cardiovascular condition,Any cardiovascular condition: No cardiovascular condition,Doctor-diagnosed asthma: No,Doctor-diagnosed asthma: Yes,E-cigarette use: Currently using,E-cigarette use: Ever previously used,E-cigarette use: Never used,Fruit & vegetable consumption (mean daily portions),Fruit & vegetable consumption: 5 portions or more,Fruit & vegetable consumption: Less than 5 portions,Fruit & vegetable consumption: None,General health questionnaire (GHQ-12): Score 0,General health questionnaire (GHQ-12): Score 1-3,General health questionnaire (GHQ-12): Score 4+,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Life satisfaction: Mode (8),Long-term illness: Limiting long-term illness,Long-term illness: No long-term illness,Long-term illness: Non-limiting long-term illness,Mental wellbeing,Obesity: Not obese,Obesity: Obese,Overweight: Not overweight or obese,Overweight: Overweight (including obese),"Provide any regular help or care for any sick, disabled or frail person: No","Provide any regular help or care for any sick, disabled or frail person: Yes",Self-assessed general health: Bad/Very bad,Self-assessed general health: Fair,Self-assessed general health: Very good/Good,Smoking status: Current smoker,Smoking status: Never smoked/Used to smoke occasionally,Smoking status: Used to smoke regularly,Summary activity levels: Low activity,Summary activity levels: Meets recommendations,Summary activity levels: Some activity,Summary activity levels: Very low activity
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,Male,NA,34,56,10,16,84,76,24,4,13,83,NA,14,69,16,60,24,16,27,39,33,33,51,16,NA,66,34,27,73,84,16,10,18,72,20,57,23,3,67,10,20
S12000029,South Lanarkshire,2015-2018,Mean,Units of alcohol,Male,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2016-2019,Mean,Units of alcohol,Male,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000021,North Ayrshire,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,Male,NA,33,52,15,20,80,NA,NA,NA,NA,NA,NA,16,76,8,NA,NA,NA,NA,NA,NA,53,37,10,NA,NA,NA,NA,NA,NA,NA,11,16,73,17,53,30,1,66,8,25
S12000023,Orkney Islands,2015-2018,Mean,Units of alcohol,Male,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000028,South Ayrshire,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000028,South Ayrshire,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2016-2019,Mean,Units of alcohol,Male,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2016-2019,Percent,Percent Of Adults,Male,NA,30,56,13,21,79,83,17,6,13,81,NA,17,71,12,67,20,14,40,34,26,34,52,14,NA,66,34,24,76,88,12,8,26,66,23,50,27,2,66,11,20
S12000006,Dumfries and Galloway,2015-2018,Percent,Percent Of Adults,Male,NA,29,52,19,21,79,NA,NA,5,13,82,NA,19,71,10,66,23,12,NA,NA,NA,35,53,13,NA,63,37,25,75,NA,NA,9,29,62,22,51,26,2,66,8,23
S12000006,Dumfries and Galloway,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2016-2019,Mean,Units of alcohol,Male,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2015-2018,Mean,Units of alcohol,Male,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2015-2018,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2015-2018,Percent,Percent Of Adults,All,NA,22,64,14,19,81,NA,NA,2,8,90,NA,23,68,9,63,23,14,NA,NA,NA,36,42,22,NA,69,31,27,73,NA,NA,6,14,81,13,60,27,6,61,11,22
S12000050,North Lanarkshire,2016-2019,Percent,Percent Of Adults,All,NA,26,57,17,16,84,86,14,7,12,81,NA,15,73,12,59,22,20,29,40,30,36,52,12,NA,67,33,30,70,84,16,12,22,66,24,51,25,3,60,14,23
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,All,NA,24,64,13,20,80,84,16,8,11,82,NA,23,70,7,60,25,15,39,34,27,32,54,14,NA,72,28,35,65,84,16,8,18,74,18,56,26,5,64,12,19
S12000023,Orkney Islands,2016-2019,Percent,Percent Of Adults,All,NA,23,62,16,19,81,80,20,1,10,89,NA,25,66,8,60,24,16,44,24,32,37,42,21,NA,67,33,25,75,84,16,6,15,79,12,65,23,5,61,12,22
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,All,NA,22,66,11,18,82,NA,NA,8,9,83,NA,23,70,7,62,23,16,NA,NA,NA,30,52,19,NA,71,29,35,65,NA,NA,6,19,75,17,55,27,6,61,13,20
S12000023,Orkney Islands,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2015-2018,Percent,Percent Of Adults,All,NA,28,54,18,16,84,NA,NA,8,10,82,NA,15,73,12,60,20,20,NA,NA,NA,35,53,12,NA,66,34,29,71,NA,NA,12,20,68,24,51,26,4,59,13,23
S12000023,Orkney Islands,2016-2019,Mean,Units of alcohol,All,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2016-2019,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2016-2019,Mean,Units of alcohol,All,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2016-2019,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2015-2018,Mean,Units of alcohol,All,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2016-2019,Mean,Units of alcohol,All,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2015-2018,Mean,Units of alcohol,All,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2016-2019,Percent,Percent Of Adults,All,NA,17,60,23,16,84,83,17,5,9,87,NA,19,74,7,67,19,14,44,22,34,36,44,20,NA,72,28,29,71,84,16,6,26,68,16,55,28,2,67,8,23
S12000006,Dumfries and Galloway,2015-2018,Percent,Percent Of Adults,All,NA,19,64,16,15,85,NA,NA,7,13,80,NA,19,72,9,61,26,14,NA,NA,NA,32,56,12,NA,65,35,28,72,NA,NA,9,22,68,20,54,25,3,65,9,23
S12000049,Glasgow City,2015-2018,Percent,Percent Of Adults,All,NA,22,58,20,16,84,NA,NA,8,15,77,NA,22,66,12,47,31,23,NA,NA,NA,35,53,12,NA,72,28,38,62,NA,NA,11,20,69,25,53,22,5,62,10,22
S12000013,Na h-Eileanan Siar,2015-2018,Percent,Percent Of Adults,All,NA,19,55,26,17,83,NA,NA,4,7,89,NA,20,73,7,65,21,14,NA,NA,NA,36,48,16,NA,69,31,27,73,NA,NA,8,26,66,16,55,29,2,63,10,25
S12000049,Glasgow City,2016-2019,Percent,Percent Of Adults,All,NA,21,56,23,15,85,83,17,8,15,77,NA,25,63,12,48,29,23,29,43,28,35,52,13,NA,73,27,39,61,84,16,12,20,69,23,56,20,4,62,11,23
S12000006,Dumfries and Galloway,2016-2019,Percent,Percent Of Adults,All,NA,21,67,13,16,84,82,18,7,13,80,NA,20,70,9,62,24,14,41,33,26,32,55,14,NA,67,33,28,72,86,14,8,22,69,19,55,26,3,66,12,20
S12000013,Na h-Eileanan Siar,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2015-2018,Mean,Units of alcohol,All,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000049,Glasgow City,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000049,Glasgow City,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000049,Glasgow City,2015-2018,Mean,Units of alcohol,All,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2016-2019,Mean,Units of alcohol,All,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2016-2019,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000008,East Ayrshire,2015-2018,Percent,Percent Of Adults,All,NA,24,58,18,21,79,NA,NA,NA,NA,NA,NA,15,67,18,60,22,19,NA,NA,NA,48,43,9,NA,63,37,27,73,NA,NA,12,19,68,20,54,27,4,56,9,31
S12000049,Glasgow City,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000049,Glasgow City,2016-2019,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000008,East Ayrshire,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000008,East Ayrshire,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000021,North Ayrshire,2015-2018,Percent,Percent Of Adults,All,NA,28,48,24,20,80,NA,NA,NA,NA,NA,NA,14,73,13,56,24,20,NA,NA,NA,41,47,11,NA,66,34,29,71,NA,NA,12,20,68,23,49,28,3,60,11,26
S12000006,Dumfries and Galloway,2015-2018,Mean,Units of alcohol,All,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000021,North Ayrshire,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000049,Glasgow City,2016-2019,Mean,Units of alcohol,All,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000017,Highland,2015-2018,Percent,Percent Of Adults,All,NA,20,64,16,17,83,NA,NA,NA,NA,NA,NA,23,67,10,NA,NA,NA,NA,NA,NA,37,46,17,NA,NA,NA,NA,NA,NA,NA,7,18,75,20,53,27,5,65,10,21
S12000021,North Ayrshire,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000017,Highland,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2016-2019,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,2016-2019,Mean,Units of alcohol,All,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2016-2019,Percent,Percent Of Adults,All,NA,32,55,12,9,91,84,16,6,10,84,NA,33,61,6,56,27,17,32,34,33,25,62,12,NA,81,19,47,53,89,11,5,14,81,18,63,19,3,75,8,14
S12000036,City of Edinburgh,2015-2018,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2015-2018,Percent,Percent Of Adults,All,NA,33,55,12,11,89,NA,NA,6,11,84,NA,33,61,6,56,27,17,NA,NA,NA,24,62,14,NA,81,19,49,51,NA,NA,5,15,80,17,62,21,3,74,9,14
S12000036,City of Edinburgh,2016-2019,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2016-2019,Mean,Portions of fruit & vegetables,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2015-2018,Mean,WEMWBS Score,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000034,Aberdeenshire,2016-2019,Percent,Percent Of Adults,All,NA,18,65,16,18,82,84,16,5,10,85,NA,18,74,8,65,22,13,40,27,33,27,59,13,NA,67,33,30,70,87,13,6,17,77,14,61,26,4,63,11,21
S12000034,Aberdeenshire,2015-2018,Percent,Percent Of Adults,All,NA,19,64,17,17,83,NA,NA,5,9,87,NA,19,73,8,66,22,12,NA,NA,NA,27,59,14,NA,67,33,31,69,NA,NA,6,16,79,15,59,26,5,63,12,20
S12000036,City of Edinburgh,2015-2018,Mean,Units of alcohol,All,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,2016-2019,Mean,Units of alcohol,All,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
