la_code,la_name,date_code,measurement,units,sex,Alcohol consumption (mean weekly units),Alcohol consumption: Hazardous/Harmful drinker,Alcohol consumption: Moderate drinker,Alcohol consumption: Non-drinker,Any cardiovascular condition: Has a cardiovascular condition,Any cardiovascular condition: No cardiovascular condition,Doctor-diagnosed asthma: No,Doctor-diagnosed asthma: Yes,E-cigarette use: Currently using,E-cigarette use: Ever previously used,E-cigarette use: Never used,Fruit & vegetable consumption (mean daily portions),Fruit & vegetable consumption: 5 portions or more,Fruit & vegetable consumption: Less than 5 portions,Fruit & vegetable consumption: None,General health questionnaire (GHQ-12): Score 0,General health questionnaire (GHQ-12): Score 1-3,General health questionnaire (GHQ-12): Score 4+,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Life satisfaction: Mode (8),Long-term illness: Limiting long-term illness,Long-term illness: No long-term illness,Long-term illness: Non-limiting long-term illness,Mental wellbeing,Obesity: Not obese,Obesity: Obese,Overweight: Not overweight or obese,Overweight: Overweight (including obese),"Provide any regular help or care for any sick, disabled or frail person: No","Provide any regular help or care for any sick, disabled or frail person: Yes",Self-assessed general health: Bad/Very bad,Self-assessed general health: Fair,Self-assessed general health: Very good/Good,Smoking status: Current smoker,Smoking status: Never smoked/Used to smoke occasionally,Smoking status: Used to smoke regularly,Summary activity levels: Low activity,Summary activity levels: Meets recommendations,Summary activity levels: Some activity,Summary activity levels: Very low activity
S12000013,Na h-Eileanan Siar,2016-2019,Percent,Percent Of Adults,Male,NA,26,54,21,16,84,83,17,6,9,85,NA,17,76,6,66,24,10,42,23,36,36,44,20,NA,74,26,27,73,85,15,6,27,67,19,52,29,1,73,5,20
S12000013,Na h-Eileanan Siar,2015-2018,Percent,Percent Of Adults,Male,NA,30,48,22,18,82,NA,NA,6,7,88,NA,19,73,8,66,24,10,NA,NA,NA,38,47,16,NA,71,29,27,73,NA,NA,6,29,65,18,51,31,2,69,8,21
S12000033,Aberdeen City,2016-2019,Percent,Percent Of Adults,Male,NA,31,53,16,16,84,84,16,6,14,80,NA,19,72,9,60,26,14,31,39,30,19,72,9,NA,78,22,36,64,91,9,4,14,82,20,61,19,2,77,7,14
S12000033,Aberdeen City,2015-2018,Percent,Percent Of Adults,Male,NA,34,52,15,15,85,NA,NA,7,12,81,NA,14,75,11,57,29,14,NA,NA,NA,20,70,10,NA,77,23,37,63,NA,NA,5,14,82,23,57,20,3,72,9,16
S12000033,Aberdeen City,2016-2019,Mean,WEMWBS Score,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000034,Aberdeenshire,2015-2018,Percent,Percent Of Adults,Male,NA,26,58,16,18,82,NA,NA,6,11,83,NA,17,73,10,68,22,10,NA,NA,NA,27,57,16,NA,68,32,27,73,NA,NA,7,15,78,15,55,30,4,68,11,17
S12000033,Aberdeen City,2015-2018,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,2016-2019,Mean,Portions of fruit & vegetables,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000034,Aberdeenshire,2016-2019,Percent,Percent Of Adults,Male,NA,24,60,16,19,81,86,14,6,12,82,NA,18,72,10,67,22,10,38,28,34,27,58,16,NA,68,32,27,73,89,11,5,18,77,13,58,29,4,67,12,17
S12000034,Aberdeenshire,2016-2019,Mean,Units of alcohol,Male,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
