"","country","life_expect_2","year","life_expect_4"
"251","United Kingdom",0,"1998_2000",75.01
"252","United Kingdom",0,"1999_2001",75.32
"253","United Kingdom",0,"2000_2002",75.61
"254","United Kingdom",0,"2001_2003",75.85
"255","United Kingdom",0,"2002_2004",76.15
"256","United Kingdom",0,"2003_2005",76.5
"257","United Kingdom",0,"2004_2006",76.87
"258","United Kingdom",0,"2005_2007",77.14
"259","United Kingdom",0,"2006_2008",77.38
"260","United Kingdom",0,"2007_2009",77.68
"261","United Kingdom",0,"2008_2010",78.01
"262","United Kingdom",0,"2009_2011",78.41
"263","United Kingdom",0,"2010_2012",78.71
"264","United Kingdom",0,"2011_2013",78.91
"265","United Kingdom",0,"2012_2014",79.07
"266","United Kingdom",0,"2013_2015",79.09
"267","United Kingdom",0,"2014_2016",79.17
"268","United Kingdom",0,"2015_2017",79.18
"269","United Kingdom",0,"2016_2018",79.25
"270","United Kingdom",0,"2017_2019",79.37
