Generated by http://statistics.gov.scot,2021-01-24T15:50:43+00:00
http://statistics.gov.scot/data/hospital-admissions,Hospital Admissions
measure type,Count
Admission Type,Cancer
Age,All
Gender,All
Measure (cell values): ,Count(Admissions)

,,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,3194,3227,3303,3394,3301,3278,3412,"","","",2936
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,1329,1270,1237,1274,1272,1293,1451,"","","",1591
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",1265,1597,1644,1665,1827,2112,2313,"","","",2197
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",2384,2580,2938,3222,2932,2786,3030,"","","",2821
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,1046,1032,1215,1309,1092,981,1047,"","","",939
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,2212,2530,2730,2461,2297,2451,2722,"","","",2603
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,1723,2050,1806,1860,1814,1702,1944,"","","",2271
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,1609,1748,2090,1927,2361,2122,1950,"","","",2270
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,2010,1965,2191,2086,2273,2093,2397,"","","",2505
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,1475,1570,1802,2148,1806,2033,2034,"","","",1736
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,1808,2000,2307,2393,2563,2512,2303,"","","",2525
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,1703,1765,2097,2124,1966,2247,1966,"","","",2367
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,2049,2298,2435,2313,2527,2175,2260,"","","",2802
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,1782,1611,1898,1737,1649,1759,1184,"","","",1299
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,1622,1820,1633,1613,1528,1509,1846,"","","",918
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,1581,1713,1702,1562,1483,1501,1595,"","","",926
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,2186,2172,2386,2042,2293,2513,2584,"","","",2594
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,2062,2301,2212,1994,1891,2118,2339,"","","",1112
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,2116,1771,2250,2226,2158,2325,2684,"","","",2978
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,1599,1967,1751,1883,2009,2050,1906,"","","",2306
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,1512,1480,1646,1444,1347,1787,1915,"","","",2302
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,2418,2063,2465,2353,2319,2417,2781,"","","",2820
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,1699,1881,1489,1791,1643,1840,2071,"","","",2640
