FeatureCode,DateCode,Measurement,Units,Value,Type Of Tenure,Household Type,Age,Gender,Limiting Long-term Physical or Mental Health Condition
S13002801,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.44,All,All,All,All,All
S12000014,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.39,All,Adults,All,All,All
S13002800,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.51,All,All,All,All,All
S12000013,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.08,All,Adults,All,All,All
S12000008,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.86,All,With Children,All,All,All
S13002804,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.63,All,All,All,All,All
S12000008,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.56,All,Pensioners,All,All,All
S12000010,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.01,All,Adults,All,All,All
S08000032,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.93,All,All,35-64 years,All,All
S12000011,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.86,All,With Children,All,All,All
S12000013,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.6,All,Pensioners,All,All,All
S14000021,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.14,All,All,All,All,All
S12000014,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.71,All,With Children,All,All,All
S12000011,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.95,All,Adults,All,All,All
S12000026,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.35,All,With Children,All,All,All
S08000017,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.38,All,All,All,Male,All
S12000005,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.22,All,Pensioners,All,All,All
S13002793,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.67,All,All,All,All,All
S12000026,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.35,All,Adults,All,All,All
S12000006,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.19,All,Adults,All,All,All
S12000048,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.1,All,Pensioners,All,All,All
S08000022,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.29,All,All,All,Female,All
S13002792,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.21,All,All,All,All,All
S12000048,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.49,All,With Children,All,All,All
S12000014,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.42,All,Pensioners,All,All,All
S12000017,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.35,All,With Children,All,All,All
S12000006,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.72,All,Pensioners,All,All,All
S08000024,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.53,All,All,All,Female,All
S12000005,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.55,All,With Children,All,All,All
S13002805,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.09,All,All,All,All,All
S12000006,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.01,All,Adults,All,All,All
S12000006,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.6,All,With Children,All,All,All
S12000008,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.94,All,Adults,All,All,All
S08000024,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.38,All,All,All,Male,All
S13002803,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.78,All,All,All,All,All
S12000010,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.73,All,Pensioners,All,All,All
S12000005,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.1,All,Pensioners,All,All,All
S12000010,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.15,All,With Children,All,All,All
S12000014,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.85,All,Adults,All,All,All
S08000032,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.8,All,All,16-34 years,All,All
S12000005,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.56,All,Adults,All,All,All
S13002806,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.93,All,All,All,All,All
S12000017,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.59,All,Adults,All,All,All
S16000085,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.33,All,All,All,All,All
S12000041,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.17,All,All,All,Male,All
S16000116,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.3,All,All,All,All,All
S12000011,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.95,All,All,All,Male,All
S14000034,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.32,All,All,All,All,All
S16000087,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.38,All,All,All,All,All
S14000023,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.45,All,All,All,All,All
S12000014,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.45,All,All,All,Male,All
S08000031,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.3,Owned Mortgage/Loan,All,All,All,All
S14000032,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.35,All,All,All,All,All
S14000031,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.54,All,All,All,All,All
S14000030,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.95,All,All,All,All,All
S12000011,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.31,All,All,All,Female,All
S14000011,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.75,All,All,All,All,All
S14000012,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.17,All,All,All,All,All
S12000013,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24,All,All,All,Male,All
S14000029,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.31,All,All,All,All,All
S14000033,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.28,All,All,All,All,All
S16000117,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.58,All,All,All,All,All
S14000028,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.29,All,All,All,All,All
S16000118,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.79,All,All,All,All,All
S08000031,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.27,Owned Outright,All,All,All,All
S14000019,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.62,All,All,All,All,All
S14000025,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.4,All,All,All,All,All
S14000024,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.74,All,All,All,All,All
S12000038,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.99,Owned Mortgage/Loan,All,All,All,All
S13002813,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.01,All,All,All,All,All
S12000038,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,21.85,Rented,All,All,All,All
S12000039,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.7,Owned Outright,All,All,All,All
S08000032,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.92,All,Adults,All,All,All
S16000119,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.56,All,All,All,All,All
S14000021,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.18,All,All,All,All,All
S14000022,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.49,All,All,All,All,All
S12000040,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.13,All,All,All,Female,All
S12000014,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.26,All,All,All,Female,All
S14000027,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.09,All,All,All,All,All
S16000086,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.28,All,All,All,All,All
S12000013,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.87,All,All,All,Female,All
S14000026,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24,All,All,All,All,All
S16000088,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.94,All,All,All,All,All
S14000017,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.43,All,All,All,All,All
S12000018,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.32,All,All,All,Male,All
S16000081,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.16,All,All,All,All,All
S16000122,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.91,All,All,All,All,All
S12000017,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.11,All,All,All,Male,All
S14000015,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.93,All,All,All,All,All
S16000121,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.25,All,All,All,All,All
S14000014,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.93,All,All,All,All,All
S14000016,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.21,All,All,All,All,All
S08000031,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.04,All,With Children,All,All,All
S14000048,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.28,All,All,All,All,All
S16000109,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.75,All,All,All,All,All
S14000047,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.41,All,All,All,All,All
S12000005,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.68,All,All,All,Female,All
S12000005,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.04,All,All,All,Male,All
S14000051,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.22,All,All,All,All,All
S14000052,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.09,All,All,All,All,All
S92000003,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.22,All,All,35-64 years,All,All
S14000053,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.95,All,All,All,All,All
S12000019,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.51,All,All,All,Female,All
S14000007,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.41,All,All,All,All,All
S14000008,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.27,All,All,All,All,All
S16000124,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.51,All,All,All,All,All
S16000125,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.17,All,All,All,All,All
S16000123,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.49,All,All,All,All,All
S12000040,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.6,All,All,All,Male,All
S16000089,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.85,All,All,All,All,All
S14000013,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.74,All,All,All,All,All
S12000018,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.75,All,All,All,Female,All
S12000017,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.14,All,All,All,Female,All
S14000018,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.24,All,All,All,All,All
S14000019,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.72,All,All,All,All,All
S16000148,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.2,All,All,All,All,All
S14000020,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.52,All,All,All,All,All
S14000009,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.12,All,All,All,All,All
S12000019,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.41,All,All,All,Male,All
S08000031,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.85,All,All,All,All,All
S14000010,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.2,All,All,All,All,All
S12000041,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.42,Rented,All,All,All,All
S12000042,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.07,Owned Outright,All,All,All,All
S08000032,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.71,Rented,All,All,All,All
S12000019,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.1,All,Adults,All,All,All
S13002810,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.58,All,All,All,All,All
S12000026,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.8,Owned Mortgage/Loan,All,All,All,All
S13002822,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.24,All,All,All,All,All
S12000026,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.92,Rented,All,All,All,All
S12000027,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.62,All,Adults,All,All,All
S12000027,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.35,Owned Outright,All,All,All,All
S13002811,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.33,All,All,All,All,All
S08000032,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.99,All,With Children,All,All,All
S12000040,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.69,Owned Mortgage/Loan,All,All,All,All
S08000025,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.21,All,All,All,Female,All
S12000041,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.32,Owned Mortgage/Loan,All,All,All,All
S12000018,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.33,All,Pensioners,All,All,All
S12000042,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.27,Owned Mortgage/Loan,All,All,All,All
S13002809,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.29,All,All,All,All,All
S12000019,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,26.19,All,With Children,All,All,All
S12000040,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.94,Rented,All,All,All,All
S12000023,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.97,Owned Mortgage/Loan,All,All,All,All
S13002824,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.05,All,All,All,All,All
S12000023,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.85,Rented,All,All,All,All
S12000048,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.22,Owned Outright,All,All,All,All
S12000028,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.02,All,Adults,All,All,All
S12000048,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.79,Owned Mortgage/Loan,All,All,All,All
S12000026,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.49,Owned Outright,All,All,All,All
S08000031,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.25,All,With Children,All,All,All
S14000017,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.89,All,All,All,All,All
S12000027,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.6,All,Pensioners,All,All,All
S12000028,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.46,Owned Mortgage/Loan,All,All,All,All
S13002820,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.25,All,All,All,All,All
S13002821,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.77,All,All,All,All,All
S12000027,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.93,All,With Children,All,All,All
S12000028,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.1,Owned Outright,All,All,All,All
S12000027,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.34,Rented,All,All,All,All
S08000032,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.59,Owned Mortgage/Loan,All,All,All,All
S12000027,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.17,Owned Mortgage/Loan,All,All,All,All
S12000026,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.99,All,Pensioners,All,All,All
S12000035,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.03,Owned Outright,All,All,All,All
S12000021,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.6,All,With Children,All,All,All
S13002815,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.08,All,All,All,All,All
S12000021,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.96,All,Adults,All,All,All
S08000032,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.82,All,Pensioners,All,All,All
S12000038,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.55,Owned Outright,All,All,All,All
S12000020,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.98,All,Pensioners,All,All,All
S12000036,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.75,Owned Mortgage/Loan,All,All,All,All
S12000035,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.43,Owned Mortgage/Loan,All,All,All,All
S08000026,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.16,All,All,All,Female,All
S08000031,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.96,All,Adults,All,All,All
S12000039,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.35,Rented,All,All,All,All
S12000040,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.11,Owned Outright,All,All,All,All
S12000020,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.17,All,With Children,All,All,All
S12000019,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.55,All,Pensioners,All,All,All
S13002812,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.46,All,All,All,All,All
S08000026,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.27,All,All,All,Male,All
S12000035,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.84,Rented,All,All,All,All
S12000039,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.09,Owned Mortgage/Loan,All,All,All,All
S12000020,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.57,All,Adults,All,All,All
S92000003,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.34,Rented,All,All,All,All
S92000003,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.6,Owned Mortgage/Loan,All,All,All,All
S12000017,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.37,All,Pensioners,All,All,All
S12000018,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.16,All,With Children,All,All,All
S13002807,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.1,All,All,All,All,All
S14000020,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.75,All,All,All,All,All
S92000003,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.71,Owned Outright,All,All,All,All
S12000041,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.51,Owned Outright,All,All,All,All
S12000018,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.02,All,Adults,All,All,All
S12000045,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.34,Rented,All,All,All,All
S12000045,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.28,Owned Mortgage/Loan,All,All,All,All
S13002814,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.07,All,All,All,All,All
S08000032,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.91,All,Pensioners,All,All,All
S12000036,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.01,Owned Outright,All,All,All,All
S12000036,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.4,Rented,All,All,All,All
S12000042,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.32,Rented,All,All,All,All
S12000045,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.57,Owned Outright,All,All,All,All
S13002808,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.85,All,All,All,All,All
S08000025,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.66,All,All,All,Male,All
S12000013,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.76,All,All,65 years and over,All,All
S12000013,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.62,All,All,35-64 years,All,All
S12000042,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.06,All,With Children,All,All,All
S12000011,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.57,All,All,65 years and over,All,All
S12000014,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.8,All,All,16-34 years,All,All
S12000045,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25,All,Adults,All,All,All
S12000042,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.04,All,Pensioners,All,All,All
S12000040,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.78,All,Pensioners,All,All,All
S12000042,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.69,All,Adults,All,All,All
S12000045,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.45,All,With Children,All,All,All
S12000008,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.05,All,All,35-64 years,All,All
S12000008,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.11,All,All,16-34 years,All,All
S12000014,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.93,All,All,65 years and over,All,All
S12000006,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.92,All,All,35-64 years,All,All
S12000008,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.15,All,All,65 years and over,All,All
S12000017,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.46,All,All,35-64 years,All,All
S12000017,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.37,All,All,16-34 years,All,All
S12000013,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.48,All,All,16-34 years,All,All
S12000014,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.6,All,All,35-64 years,All,All
S12000017,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.84,All,All,65 years and over,All,All
S12000047,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.23,All,Pensioners,All,All,All
S12000048,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.6,All,With Children,All,All,All
S12000048,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.33,All,Adults,All,All,All
S12000045,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.65,All,Pensioners,All,All,All
S12000047,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.98,All,Adults,All,All,All
S12000030,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.51,All,All,35-64 years,All,All
S12000033,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.03,All,All,16-34 years,All,All
S12000030,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.02,All,All,65 years and over,All,All
S12000030,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.51,All,All,16-34 years,All,All
S12000029,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.19,All,All,65 years and over,All,All
S12000041,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.72,All,With Children,All,All,All
S12000041,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.58,All,Adults,All,All,All
S12000005,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.51,All,All,16-34 years,All,All
S12000040,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.71,All,With Children,All,All,All
S12000041,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.4,All,Pensioners,All,All,All
S12000005,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.28,All,All,65 years and over,All,All
S12000005,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.99,All,All,35-64 years,All,All
S12000047,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.13,All,With Children,All,All,All
S12000048,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.55,All,Pensioners,All,All,All
S12000006,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.47,All,All,16-34 years,All,All
S12000021,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.4,All,All,All,Male,All
S12000021,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.87,All,All,All,Female,All
S12000026,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.27,All,All,All,Male,All
S12000041,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.26,All,All,All,Female,All
S12000042,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.27,All,All,All,Male,All
S12000018,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.44,All,All,All,Female,All
S12000019,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.75,All,All,All,Male,All
S12000020,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.98,All,All,All,Female,All
S12000023,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.79,All,All,All,Male,All
S12000023,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.31,All,All,All,Female,All
S12000048,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.51,All,All,All,Male,All
S12000045,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.74,All,All,All,Male,All
S12000047,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.64,All,All,All,Male,All
S12000035,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.56,All,All,All,Female,All
S12000045,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.61,All,All,All,Female,All
S12000040,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.62,All,All,All,Female,All
S12000040,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.15,All,All,All,Male,All
S12000042,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.7,All,All,All,Female,All
