FeatureCode,DateCode,Measurement,Units,Value,Type Of Tenure,Household Type,Age,Gender,Limiting Long-term Physical or Mental Health Condition
S12000018,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.69,All,All,35-64 years,All,All
S12000036,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.65,Owned Outright,All,All,All,All
S08000032,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.1,All,All,All,All,All
S12000042,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.98,Owned Outright,All,All,All,All
S13002786,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.36,All,All,All,All,All
S12000048,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.23,All,All,16-34 years,All,All
S12000045,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.92,Owned Mortgage/Loan,All,All,All,All
S13002783,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.92,All,All,All,All,All
S13002774,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.65,All,All,All,All,All
S12000033,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.58,All,Pensioners,All,All,All
S12000033,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.77,All,With Children,All,All,All
S12000026,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.39,All,All,16-34 years,All,All
S12000038,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.24,Owned Outright,All,All,All,All
S12000036,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.55,All,With Children,All,All,All
S12000034,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.85,All,Adults,All,All,All
S12000013,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.11,All,All,35-64 years,All,All
S12000041,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.51,All,Pensioners,All,All,All
S12000008,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.92,All,All,35-64 years,All,All
S08000032,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.03,All,All,All,Female,All
S12000040,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.61,All,Adults,All,All,All
S08000020,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.38,All,All,All,Female,All
S13002697,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.77,All,All,All,All,All
S08000016,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.92,Rented,All,All,All,All
S08000016,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.49,Owned Outright,All,All,All,All
S08000015,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.08,Owned Mortgage/Loan,All,All,All,All
S12000050,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.39,All,Pensioners,All,All,All
S08000026,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.3,All,All,All,All,All
S08000022,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.5,All,All,16-34 years,All,All
S13002700,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.26,All,All,All,All,All
S08000016,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.8,Owned Mortgage/Loan,All,All,All,All
S12000047,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.28,All,All,All,All,All
S92000003,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.16,All,All,16-64 years,All,All
S12000047,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.5,All,All,16-64 years,All,All
S12000008,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.22,All,All,All,All,All
S12000048,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.89,All,All,16-64 years,All,All
S12000006,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.94,All,All,All,All,All
S13002698,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.24,All,All,All,All,All
S08000015,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.8,Rented,All,All,All,All
S08000020,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.4,All,All,35-64 years,All,All
S08000024,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.37,All,All,16-34 years,All,All
S13002703,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.39,All,All,All,All,All
S12000017,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.16,All,All,16-64 years,All,All
S08000026,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.28,All,All,16-34 years,All,All
S08000032,2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.49,All,All,All,Male,All
S12000018,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.49,All,All,16-64 years,All,All
S12000019,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.04,All,All,16-64 years,All,All
S12000023,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.26,All,All,16-64 years,All,All
S12000021,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.71,All,All,16-64 years,All,All
S12000019,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.69,All,All,All,All,All
S12000021,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.12,All,All,All,All,All
S13002710,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.15,All,All,All,All,All
S08000015,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.6,Owned Outright,All,All,All,All
S14000041,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.97,All,All,All,All,All
S08000030,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.79,All,All,All,All,All
S08000024,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,All,All,All,All
S08000025,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.67,All,All,All,All,All
S08000029,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.55,All,All,All,All,All
S12000050,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.17,All,With Children,All,All,All
S13002699,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.9,All,All,All,All,All
S08000028,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.54,All,All,All,All,All
S12000042,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,All,All,All,All
S12000041,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.92,All,All,All,All,All
S13002722,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24,All,All,All,All,All
S13002723,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.37,All,All,All,All,All
S12000045,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,All,All,All,All
S13002725,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.58,All,All,All,All,All
S12000005,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.46,Owned Mortgage/Loan,All,All,All,All
S92000003,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.32,All,All,All,All,All
S12000005,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.33,Owned Outright,All,All,All,All
S08000032,2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.31,All,With Children,All,All,All
S13002729,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.24,All,All,All,All,All
S08000032,2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.26,Rented,All,All,All,All
S12000006,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.29,Owned Mortgage/Loan,All,All,All,All
S13002726,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.03,All,All,All,All,All
S12000008,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.03,Owned Outright,All,All,All,All
S08000019,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24,All,All,16-64 years,All,All
S13002728,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.23,All,All,All,All,All
